横浜ＦＣ,湘南ベルマーレ,2
ヴァンフォーレ甲府,ＲＢ大宮アルディージャ,1
ブラウブリッツ秋田,ベガルタ仙台,0
カターレ富山,ＦＣ今治,0
いわきＦＣ,ジュビロ磐田,1
藤枝ＭＹＦＣ,北海道コンサドーレ札幌,0
モンテディオ山形,栃木シティ,2
徳島ヴォルティス,高知ユナイテッドＳＣ,1
ガイナーレ鳥取,サガン鳥栖,2
レイラック滋賀ＦＣ,テゲバジャーロ宮崎,1
レノファ山口ＦＣ,大分トリニータ,1
ＦＣ大阪,アルビレックス新潟,0
ヴァンラーレ八戸,ＳＣ相模原,0
