home_team_id,home_score,away_team_id,away_score,home_goal_points,home_deffence_points,home_attack_points,home_agi,home_save_points,home_attacks,home_chance_construct_rate,home_shooting_success_rate,home_capture_points,home_pass_points,home_dribble_points,away_goal_points,away_deffence_points,away_attack_points,away_agi,away_save_points,away_attacks,away_chance_construct_rate,away_shooting_success_rate,away_capture_points,away_pass_points,away_dribble_points,result,diff_goal_points,diff_attack_points,diff_deffence_points,diff_agi,diff_save_points,diff_chance_construct_rate,diff_shooting_success_rate,diff_attacks,diff_capture_points,diff_pass_points,diff_dribble_points,home_attack_vs_away_defense,away_attack_vs_home_defense,home_overall,away_overall,diff_overall
20,1,9,0,11.79,108.77,87.57,44.6,1.32,125.1,6.8,5.9,780.97,69.93,8.09,14.76,109.08,85.44,53.0,4.98,121.3,10.4,6.9,795.19,64.94,8.5,1,-2.9700000000000006,2.1299999999999955,-0.3100000000000023,-8.399999999999999,-3.66,-3.6000000000000005,-1.0,3.799999999999997,-14.220000000000027,4.990000000000009,-0.41000000000000014,0.8028052069302156,0.7855106384563171,-21.200000000000003,-23.64,2.4399999999999977
15,2,14,2,18.81,108.33,97.41,46.9,3.81,114.6,9.4,11.6,662.16,81.75,5.25,18.95,94.44,84.0,46.3,2.05,125.4,7.9,8.7,679.26,68.27,6.01,0,-0.14000000000000057,13.409999999999997,13.89,0.6000000000000014,1.7600000000000002,1.5,2.9000000000000004,-10.800000000000011,-17.100000000000023,13.480000000000004,-0.7599999999999998,1.0314484295374386,0.7754084025285329,-10.920000000000002,-10.439999999999998,-0.480000000000004
19,1,5,1,14.99,121.31,85.22,46.5,3.7,127.3,8.6,6.9,754.3,65.21,5.09,24.14,120.33,114.99,51.2,3.53,114.1,10.7,7.1,746.88,88.69,11.22,0,-9.15,-29.769999999999996,0.980000000000004,-4.700000000000003,0.17000000000000037,-2.0999999999999996,-0.1999999999999993,13.200000000000003,7.419999999999959,-23.480000000000004,-6.130000000000001,0.7082190053836113,0.9479019909404013,-36.09,-5.340000000000003,-30.75
10,1,1,1,31.37,121.26,126.01,44.3,3.26,118.9,8.0,11.8,724.31,105.97,10.24,24.13,83.64,109.37,56.2,1.8,122.0,10.1,14.0,684.56,88.64,7.05,0,7.240000000000002,16.64,37.620000000000005,-11.900000000000006,1.4599999999999997,-2.0999999999999996,-2.1999999999999993,-3.0999999999999943,39.75,17.33,3.1900000000000004,1.506575620925918,0.9019461568574834,4.75,25.730000000000004,-20.980000000000004
6,2,2,0,20.62,108.1,118.48,51.5,2.09,126.1,10.1,8.8,769.18,95.4,10.27,28.0,104.85,109.78,38.1,2.72,112.3,10.1,9.9,700.81,91.1,8.13,1,-7.379999999999999,8.700000000000003,3.25,13.399999999999999,-0.6300000000000003,0.0,-1.0999999999999996,13.799999999999997,68.37,4.300000000000011,2.139999999999999,1.129995123510241,1.0155410716428241,10.38000000000001,4.930000000000007,5.450000000000003
3,2,16,1,25.3,121.75,128.51,52.6,2.63,122.8,11.6,7.9,887.84,106.48,9.55,16.06,105.49,107.15,55.3,3.53,111.6,12.4,5.4,715.73,80.14,11.01,1,9.240000000000002,21.359999999999985,16.260000000000005,-2.6999999999999957,-0.8999999999999999,-0.8000000000000007,2.5,11.200000000000003,172.11,26.340000000000003,-1.459999999999999,1.2182196209859113,0.880082063237613,6.759999999999991,1.6600000000000108,5.09999999999998
7,1,8,2,36.73,115.84,124.58,51.2,2.65,115.6,10.9,12.9,694.68,104.54,11.37,16.11,114.44,106.9,47.6,4.64,115.9,8.0,9.5,796.13,83.09,10.44,2,20.619999999999997,17.679999999999993,1.4000000000000057,3.6000000000000014,-1.9899999999999998,2.9000000000000004,3.4000000000000004,-0.30000000000001137,-101.45000000000005,21.450000000000003,0.9299999999999997,1.0886052876087655,0.9228245059716415,8.739999999999995,-7.539999999999992,16.279999999999987
11,4,13,0,28.15,101.08,103.26,54.8,3.72,122.6,10.0,12.2,790.06,84.04,8.48,20.98,105.61,85.92,47.2,3.67,119.3,7.9,9.3,819.31,68.58,9.9,1,7.169999999999998,17.340000000000003,-4.530000000000001,7.599999999999994,0.050000000000000266,2.0999999999999996,2.8999999999999986,3.299999999999997,-29.25,15.460000000000008,-1.42,0.9777482267069192,0.8500197022141173,2.180000000000007,-19.689999999999998,21.870000000000005
17,0,18,1,16.55,106.8,103.6,40.5,3.16,118.9,8.0,7.9,659.29,85.97,9.94,28.96,95.57,98.73,51.0,1.1,122.6,8.2,12.5,795.64,77.27,7.42,2,-12.41,4.86999999999999,11.230000000000004,-10.5,2.06,-0.1999999999999993,-4.6,-3.6999999999999886,-136.35000000000002,8.700000000000003,2.5199999999999996,1.0840220692662896,0.924438115689315,-3.200000000000003,3.160000000000011,-6.360000000000014
24,1,25,0,31.08,102.89,101.56,56.9,0.87,117.4,12.3,10.9,630.94,83.72,6.13,14.24,110.4,84.33,51.5,2.1,112.4,11.1,6.9,629.16,66.8,6.83,1,16.839999999999996,17.230000000000004,-7.510000000000005,5.399999999999999,-1.23,1.200000000000001,4.0,5.0,1.7800000000000864,16.92,-0.7000000000000002,0.919927452905122,0.8196130994641754,-1.3299999999999983,-26.070000000000007,24.74000000000001
34,2,35,0,37.09,108.14,91.59,51.5,2.46,115.7,9.0,23.3,512.25,70.65,8.66,14.17,107.38,83.65,46.4,3.85,106.9,10.8,7.4,543.55,67.27,7.13,1,22.92,7.939999999999998,0.7600000000000051,5.100000000000001,-1.3900000000000001,-1.8000000000000007,15.9,8.799999999999997,-31.299999999999955,3.3800000000000097,1.5300000000000002,0.8529520531801031,0.7735342358485079,-16.549999999999997,-23.72999999999999,7.179999999999993
26,1,29,0,24.91,84.34,114.77,48.4,6.0,108.7,10.0,14.5,507.82,85.72,11.69,8.24,99.94,91.03,47.7,2.85,117.1,8.4,5.8,562.23,67.65,13.02,1,16.67,23.739999999999995,-15.599999999999994,0.6999999999999957,3.15,1.5999999999999996,8.7,-8.399999999999991,-54.410000000000025,18.069999999999993,-1.33,1.1483889185122154,1.079321664770967,30.429999999999993,-8.909999999999997,39.33999999999999
58,0,41,1,15.45,113.14,87.82,43.9,4.42,119.4,6.9,6.9,565.06,74.19,7.95,29.34,116.31,73.6,52.8,2.98,124.4,10.1,10.2,595.56,49.97,9.52,2,-13.89,14.219999999999999,-3.1700000000000017,-8.899999999999999,1.44,-3.1999999999999993,-3.299999999999999,-5.0,-30.5,24.22,-1.5699999999999994,0.7550510914752736,0.6505214203180643,-25.320000000000007,-42.71000000000001,17.39
53,1,52,0,15.65,101.98,85.97,37.7,3.97,126.1,7.3,7.8,626.33,65.06,6.7,14.75,96.98,76.54,49.4,3.22,126.9,8.8,6.4,648.22,56.93,9.51,1,0.9000000000000004,9.429999999999993,5.0,-11.699999999999996,0.75,-1.5000000000000009,1.3999999999999995,-0.8000000000000114,-21.889999999999986,8.130000000000003,-2.8099999999999996,0.8864713460021296,0.7505392478388657,-16.010000000000005,-20.439999999999998,4.429999999999993
